TIMESTAMP,BVP,ACC_X,ACC_Y,ACC_Z,TEMP,EDA,HR,IBI,Sleep_Stage,Obstructive_Apnea,Central_Apnea,Hypopnea,Multiple_Events
0.000000,0.1291,-0.0984,0.1300,1.0000,33.100,0.23500,72.60,0.8420,W,0,0,0,0
0.015625,0.1434,-0.0992,0.1300,1.0004,33.100,0.23513,72.63,0.8420,W,0,0,0,0
0.031250,0.1558,-0.1000,0.1300,1.0008,33.100,0.23526,72.65,0.8420,W,0,0,0,0
0.046875,0.1663,-0.1008,0.1300,1.0013,33.100,0.23539,72.68,0.8420,W,0,0,0,0
0.062500,0.1747,-0.1016,0.1299,1.0017,33.100,0.23553,72.71,0.8420,W,0,0,0,0
0.078125,0.1809,-0.1024,0.1299,1.0021,33.100,0.23566,72.73,0.8420,W,0,0,0,0
0.093750,0.1848,-0.1031,0.1298,1.0024,33.100,0.23579,72.76,0.8419,W,0,0,0,0
0.109375,0.1865,-0.1039,0.1298,1.0028,33.100,0.23592,72.79,0.8419,W,0,0,0,0
0.125000,0.1859,-0.1046,0.1297,1.0031,33.100,0.23605,72.82,0.8419,W,0,0,0,0
0.140625,0.1830,-0.1054,0.1296,1.0035,33.100,0.23618,72.84,0.8418,W,0,0,0,0
0.156250,0.1778,-0.1061,0.1295,1.0038,33.100,0.23630,72.87,0.8418,W,0,0,0,0
0.171875,0.1706,-0.1068,0.1294,1.0040,33.100,0.23643,72.89,0.8418,W,0,0,0,0
0.187500,0.1612,-0.1075,0.1293,1.0043,33.100,0.23656,72.92,0.8417,W,0,0,0,0
0.203125,0.1500,-0.1082,0.1291,1.0045,33.100,0.23669,72.95,0.8417,W,0,0,0,0
0.218750,0.1370,-0.1089,0.1290,1.0047,33.100,0.23681,72.97,0.8416,W,0,0,0,0
0.234375,0.1223,-0.1095,0.1289,1.0049,33.100,0.23694,73.00,0.8416,W,0,0,0,0
0.250000,0.1063,-0.1102,0.1287,1.0050,33.100,0.23706,73.02,0.8415,W,0,0,0,0
0.265625,0.0891,-0.1108,0.1285,1.0052,33.100,0.23719,73.05,0.8415,W,0,0,0,0
0.281250,0.0710,-0.1115,0.1284,1.0052,33.100,0.23731,73.07,0.8414,W,0,0,0,0
0.296875,0.0522,-0.1121,0.1282,1.0053,33.100,0.23743,73.10,0.8413,W,0,0,0,0
0.312500,0.0329,-0.1127,0.1280,1.0053,33.100,0.23755,73.12,0.8413,W,0,0,0,0
0.328125,0.0133,-0.1133,0.1278,1.0053,33.100,0.23767,73.15,0.8412,W,0,0,0,0
0.343750,-0.0061,-0.1139,0.1276,1.0053,33.100,0.23779,73.17,0.8411,W,0,0,0,0
0.359375,-0.0253,-0.1145,0.1273,1.0053,33.100,0.23790,73.20,0.8410,W,0,0,0,0
0.375000,-0.0439,-0.1151,0.1271,1.0052,33.100,0.23802,73.22,0.8409,W,0,0,0,0
0.390625,-0.0616,-0.1157,0.1268,1.0051,33.100,0.23813,73.24,0.8408,W,0,0,0,0
0.406250,-0.0784,-0.1162,0.1266,1.0050,33.100,0.23824,73.27,0.8408,W,0,0,0,0
0.421875,-0.0938,-0.1168,0.1263,1.0049,33.100,0.23836,73.29,0.8407,W,0,0,0,0
0.437500,-0.1078,-0.1173,0.1260,1.0047,33.100,0.23846,73.31,0.8406,W,0,0,0,0
0.453125,-0.1202,-0.1178,0.1258,1.0046,33.100,0.23857,73.33,0.8405,W,0,0,0,0
0.468750,-0.1307,-0.1184,0.1255,1.0044,33.101,0.23868,73.36,0.8403,W,0,0,0,0
0.484375,-0.1392,-0.1189,0.1252,1.0042,33.101,0.23878,73.38,0.8402,W,0,0,0,0
0.500000,-0.1457,-0.1194,0.1248,1.0041,33.101,0.23889,73.40,0.8401,W,0,0,0,0
0.515625,-0.1500,-0.1199,0.1245,1.0039,33.101,0.23899,73.42,0.8400,W,0,0,0,0
0.531250,-0.1521,-0.1203,0.1242,1.0037,33.101,0.23909,73.44,0.8399,W,0,0,0,0
0.546875,-0.1519,-0.1208,0.1238,1.0036,33.101,0.23918,73.46,0.8398,W,0,0,0,0
0.562500,-0.1494,-0.1213,0.1235,1.0034,33.101,0.23928,73.48,0.8396,W,0,0,0,0
0.578125,-0.1447,-0.1217,0.1231,1.0033,33.101,0.23937,73.50,0.8395,W,0,0,0,0
0.593750,-0.1378,-0.1221,0.1227,1.0032,33.101,0.23946,73.52,0.8394,W,0,0,0,0
0.609375,-0.1287,-0.1226,0.1224,1.0031,33.101,0.23955,73.53,0.8393,W,0,0,0,0
0.625000,-0.1177,-0.1230,0.1220,1.0030,33.101,0.23964,73.55,0.8391,W,0,0,0,0
0.640625,-0.1048,-0.1234,0.1216,1.0029,33.101,0.23972,73.57,0.8390,W,0,0,0,0
0.656250,-0.0902,-0.1238,0.1212,1.0028,33.101,0.23981,73.59,0.8388,W,0,0,0,0
0.671875,-0.0741,-0.1242,0.1207,1.0028,33.101,0.23989,73.60,0.8387,W,0,0,0,0
0.687500,-0.0567,-0.1246,0.1203,1.0028,33.101,0.23997,73.62,0.8385,W,0,0,0,0
0.703125,-0.0381,-0.1249,0.1199,1.0029,33.101,0.24004,73.63,0.8384,W,0,0,0,0
0.718750,-0.0187,-0.1253,0.1194,1.0029,33.101,0.24012,73.65,0.8382,W,0,0,0,0
0.734375,0.0014,-0.1256,0.1190,1.0030,33.101,0.24019,73.66,0.8381,W,0,0,0,0
0.750000,0.0219,-0.1259,0.1185,1.0031,33.101,0.24026,73.68,0.8379,W,0,0,0,0
0.765625,0.0424,-0.1263,0.1180,1.0032,33.101,0.24032,73.69,0.8378,W,0,0,0,0
0.781250,0.0629,-0.1266,0.1175,1.0034,33.101,0.24039,73.70,0.8376,W,0,0,0,0
0.796875,0.0829,-0.1269,0.1170,1.0036,33.101,0.24045,73.72,0.8374,W,0,0,0,0
0.812500,0.1023,-0.1272,0.1165,1.0038,33.101,0.24051,73.73,0.8373,W,0,0,0,0
0.828125,0.1209,-0.1274,0.1160,1.0041,33.101,0.24056,73.74,0.8371,W,0,0,0,0
0.843750,0.1383,-0.1277,0.1155,1.0044,33.101,0.24062,73.75,0.8369,W,0,0,0,0
0.859375,0.1543,-0.1279,0.1149,1.0047,33.101,0.24067,73.76,0.8368,W,0,0,0,0
0.875000,0.1689,-0.1282,0.1144,1.0050,33.101,0.24072,73.77,0.8366,W,0,0,0,0
0.890625,0.1817,-0.1284,0.1139,1.0053,33.101,0.24077,73.78,0.8364,W,0,0,0,0
0.906250,0.1926,-0.1286,0.1133,1.0057,33.101,0.24081,73.79,0.8362,W,0,0,0,0
0.921875,0.2015,-0.1288,0.1127,1.0061,33.101,0.24085,73.80,0.8360,W,0,0,0,0
0.937500,0.2082,-0.1290,0.1122,1.0065,33.101,0.24089,73.81,0.8359,W,0,0,0,0
0.953125,0.2127,-0.1291,0.1116,1.0069,33.101,0.24092,73.81,0.8357,W,0,0,0,0
0.968750,0.2150,-0.1293,0.1110,1.0073,33.101,0.24096,73.82,0.8355,W,0,0,0,0
0.984375,0.2149,-0.1294,0.1104,1.0077,33.101,0.24099,73.82,0.8353,W,0,0,0,0
1.000000,0.2126,-0.1296,0.1098,1.0081,33.101,0.24102,73.83,0.8351,W,0,0,0,0
1.015625,0.2079,-0.1297,0.1091,1.0085,33.101,0.24104,73.84,0.8349,W,0,0,0,0
1.031250,0.2011,-0.1298,0.1085,1.0089,33.101,0.24106,73.84,0.8347,W,0,0,0,0
1.046875,0.1921,-0.1299,0.1079,1.0094,33.101,0.24108,73.84,0.8345,W,0,0,0,0
1.062500,0.1811,-0.1299,0.1072,1.0098,33.101,0.24110,73.85,0.8343,W,0,0,0,0
1.078125,0.1682,-0.1300,0.1066,1.0101,33.101,0.24111,73.85,0.8341,W,0,0,0,0
1.093750,0.1536,-0.1300,0.1059,1.0105,33.101,0.24112,73.85,0.8339,W,0,0,0,0
1.109375,0.1375,-0.1300,0.1052,1.0109,33.101,0.24113,73.85,0.8337,W,0,0,0,0
1.125000,0.1200,-0.1300,0.1046,1.0112,33.101,0.24114,73.85,0.8335,W,0,0,0,0
1.140625,0.1014,-0.1300,0.1039,1.0115,33.101,0.24114,73.85,0.8333,W,0,0,0,0
1.156250,0.0820,-0.1300,0.1032,1.0118,33.101,0.24114,73.85,0.8331,W,0,0,0,0
1.171875,0.0620,-0.1300,0.1025,1.0121,33.101,0.24114,73.85,0.8329,W,0,0,0,0
1.187500,0.0415,-0.1299,0.1018,1.0124,33.101,0.24113,73.85,0.8327,W,0,0,0,0
1.203125,0.0210,-0.1298,0.1011,1.0126,33.101,0.24112,73.85,0.8325,W,0,0,0,0
1.218750,0.0006,-0.1297,0.1003,1.0128,33.101,0.24111,73.84,0.8323,W,0,0,0,0
1.234375,-0.0194,-0.1296,0.0996,1.0130,33.101,0.24110,73.84,0.8321,W,0,0,0,0
1.250000,-0.0387,-0.1295,0.0989,1.0131,33.101,0.24108,73.84,0.8319,W,0,0,0,0
1.265625,-0.0572,-0.1294,0.0981,1.0132,33.101,0.24106,73.83,0.8317,W,0,0,0,0
1.281250,-0.0745,-0.1292,0.0973,1.0133,33.101,0.24104,73.83,0.8314,W,0,0,0,0
1.296875,-0.0905,-0.1290,0.0966,1.0133,33.101,0.24101,73.82,0.8312,W,0,0,0,0
1.312500,-0.1049,-0.1288,0.0958,1.0134,33.101,0.24098,73.82,0.8310,W,0,0,0,0
1.328125,-0.1176,-0.1286,0.0950,1.0134,33.101,0.24095,73.81,0.8308,W,0,0,0,0
1.343750,-0.1285,-0.1284,0.0942,1.0133,33.101,0.24092,73.80,0.8306,W,0,0,0,0
1.359375,-0.1373,-0.1282,0.0934,1.0133,33.101,0.24088,73.79,0.8304,W,0,0,0,0
1.375000,-0.1439,-0.1279,0.0926,1.0132,33.101,0.24084,73.79,0.8302,W,0,0,0,0
1.390625,-0.1484,-0.1276,0.0918,1.0131,33.101,0.24080,73.78,0.8300,W,0,0,0,0
1.406250,-0.1506,-0.1273,0.0910,1.0130,33.101,0.24076,73.77,0.8297,W,0,0,0,0
1.421875,-0.1506,-0.1270,0.0902,1.0129,33.102,0.24071,73.76,0.8295,W,0,0,0,0
1.437500,-0.1482,-0.1267,0.0894,1.0127,33.102,0.24066,73.75,0.8293,W,0,0,0,0
1.453125,-0.1436,-0.1263,0.0885,1.0126,33.102,0.24061,73.74,0.8291,W,0,0,0,0
1.468750,-0.1369,-0.1259,0.0877,1.0124,33.102,0.24056,73.72,0.8289,W,0,0,0,0
1.484375,-0.1280,-0.1255,0.0868,1.0122,33.102,0.24050,73.71,0.8287,W,0,0,0,0
1.500000,-0.1172,-0.1251,0.0860,1.0121,33.102,0.24044,73.70,0.8285,W,0,0,0,0
1.515625,-0.1045,-0.1247,0.0851,1.0119,33.102,0.24038,73.69,0.8283,W,0,0,0,0
1.531250,-0.0902,-0.1243,0.0842,1.0117,33.102,0.24031,73.67,0.8281,W,0,0,0,0
1.546875,-0.0744,-0.1238,0.0834,1.0115,33.102,0.24025,73.66,0.8278,W,0,0,0,0
1.562500,-0.0574,-0.1233,0.0825,1.0114,33.102,0.24018,73.64,0.8276,W,0,0,0,0
1.578125,-0.0393,-0.1228,0.0816,1.0112,33.102,0.24011,73.63,0.8274,W,0,0,0,0
1.593750,-0.0204,-0.1223,0.0807,1.0111,33.102,0.24003,73.61,0.8272,W,0,0,0,0
1.609375,-0.0009,-0.1217,0.0798,1.0110,33.102,0.23996,73.60,0.8270,W,0,0,0,0
1.625000,0.0189,-0.1212,0.0789,1.0109,33.102,0.23988,73.58,0.8268,W,0,0,0,0
1.640625,0.0387,-0.1206,0.0780,1.0108,33.102,0.23980,73.56,0.8266,W,0,0,0,0
1.656250,0.0583,-0.1200,0.0770,1.0108,33.102,0.23972,73.54,0.8264,W,0,0,0,0
1.671875,0.0775,-0.1194,0.0761,1.0107,33.102,0.23963,73.53,0.8262,W,0,0,0,0
1.687500,0.0960,-0.1188,0.0752,1.0107,33.102,0.23955,73.51,0.8260,W,0,0,0,0
1.703125,0.1135,-0.1181,0.0742,1.0107,33.102,0.23946,73.49,0.8258,W,0,0,0,0
1.718750,0.1298,-0.1175,0.0733,1.0108,33.102,0.23937,73.47,0.8256,W,0,0,0,0
1.734375,0.1447,-0.1168,0.0723,1.0109,33.102,0.23928,73.45,0.8254,W,0,0,0,0
1.750000,0.1581,-0.1161,0.0714,1.0110,33.102,0.23918,73.43,0.8252,W,0,0,0,0
1.765625,0.1696,-0.1154,0.0704,1.0111,33.102,0.23908,73.41,0.8250,W,0,0,0,0
1.781250,0.1793,-0.1146,0.0694,1.0113,33.102,0.23899,73.39,0.8248,W,0,0,0,0
1.796875,0.1869,-0.1139,0.0685,1.0115,33.102,0.23889,73.37,0.8246,W,0,0,0,0
1.812500,0.1923,-0.1131,0.0675,1.0117,33.102,0.23879,73.35,0.8244,W,0,0,0,0
1.828125,0.1955,-0.1123,0.0665,1.0119,33.102,0.23868,73.33,0.8243,W,0,0,0,0
1.843750,0.1965,-0.1115,0.0655,1.0122,33.102,0.23858,73.30,0.8241,W,0,0,0,0
