readme_order,readme_display_name,artifact_model_name,candidate_id,stage,model_family,notes,primary_metric_source
1,Majority-class baseline,majority_class,stage6_majority_class,stage6,sanity_baseline,Predicts the most frequent training class.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
2,Elastic-net logistic regression,logistic_elasticnet,stage6_logistic_regression,stage6,feature_baseline,Traditional ML baseline fit on engineered epoch-level features.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
3,XGBoost,xgboost_all_features,stage6_xgboost,stage6,feature_baseline,Tree-based traditional ML baseline fit on engineered features.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
4,Single-epoch CNN,stage9_best_single_epoch_cnn,stage9_best,stage9,single_epoch_cnn,Best validation-selected single-epoch raw-signal CNN.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
5,Temporal-context CNN,stage10_best,stage10_best,stage10,temporal_context_cnn,Best validation-selected CNN using neighboring epochs around the target epoch.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
6,"CNN-GRU, many-to-one",stage11_best_cnn_gru,stage11_best,stage11,cnn_gru_many_to_one,Best validation-selected recurrent sequence model with one target label per sequence.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
7,"CNN-GRU, many-to-many",stage12_best_cnn_gru_many_to_many,stage12_best,stage12,cnn_gru_many_to_many,Best validation-selected recurrent sequence model with one label per sequence position.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
8,MSResCNN-MLP,stage14_best_sqrt_weighted,stage14_best,stage14,multiscale_residual_fusion,Multiscale residual CNN raw-signal branch fused with engineered-feature MLP branch.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
9,31-epoch MSResCNN-MLP-TCN,stage15_equal_weight_seed_ensemble,stage15_equal_weight_seed_ensemble,stage15,frozen_stage14_embedding_tcn,TCN sequence head over frozen MSResCNN-MLP epoch embeddings using 31-epoch windows.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
10,61-epoch MSResCNN-MLP-TCN,stage16_equal_weight_seed_ensemble,stage16_equal_weight_seed_ensemble,stage16,frozen_stage14_embedding_tcn_s61,TCN sequence head over frozen MSResCNN-MLP epoch embeddings using 61-epoch windows.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
11,Transition-regularized 61-epoch MSResCNN-MLP-TCN,stage19_best_equal_weight_seed_ensemble_lambda_0.05,stage19_best_equal_weight_seed_ensemble,stage19,transition_regularized_frozen_stage14_tcn_s61,Stage 16 architecture with transition-regularized training; lambda selected on validation macro F1.,results/stage20_final_test_evaluation/validation_test_metric_comparison.csv
